,Año,Trimestre,Provincia,Accesos por cada 100 hogares
665,2017,2,San Juan,26.96461612024698
666,2017,2,San Luis,9.513970314868304
667,2017,2,Santa Cruz,26.248619828709554
668,2017,2,Santa Fe,52.26961123969867
669,2017,2,Santiago Del Estero,14.118988073971998
670,2017,2,Tierra Del Fuego,68.46322075955756
671,2017,2,Tucumán,38.18623365639289
672,2017,1,Buenos Aires,58.57400244920328
673,2017,1,Capital Federal,108.36920836560806
674,2017,1,Catamarca,25.659350838021506
675,2017,1,Chaco,28.62166053842791
676,2017,1,Chubut,35.662220237763016
677,2017,1,Córdoba,57.65332959287443
678,2017,1,Corrientes,30.940600109644144
679,2017,1,Entre Ríos,44.907273687041226
680,2017,1,Formosa,19.842489178645863
